experiment_name,model_type,standardize,hidden_layers,steps,learning_rate,l2_lambda,train_accuracy,validation_accuracy,test_accuracy,test_precision,test_recall,test_f1_score
manual_raw_baseline,manual,False,6,500,0.01,0.0,0.9681093394077449,0.9727272727272728,0.9635036496350365,0.9912280701754386,0.9262295081967213,0.9576271186440678
manual_standardized_baseline,manual,True,6,1000,0.03,0.0,0.9817767653758542,0.9636363636363636,0.9744525547445255,0.952755905511811,0.9918032786885246,0.9718875502008032
manual_regularized_deeper,manual,True,10-6,1000,0.01,0.001,0.9783599088838268,0.9590909090909091,0.9708029197080292,0.9453125,0.9918032786885246,0.968
sklearn_standardized_baseline,sklearn,True,6,1000,0.01,0.0,0.9738041002277904,0.9590909090909091,0.9708029197080292,0.9523809523809523,0.9836065573770492,0.9677419354838709
