model,kind,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,trainable_parameters
lenet_like_cnn,CNN,0.9305555555555556,0.9372093522093522,0.9298369798369798,0.9298982469839092,5750
improved_batchnorm_dropout_cnn,CNN,0.9666666666666667,0.9684856371698476,0.9662655512655514,0.9660608366815489,5794
vgg_style_small_cnn,CNN,0.9583333333333334,0.957679389916232,0.957777777777778,0.9572449587001552,29722
hybrid_improved_cnn_features_svc,CNN features + SVC,0.975,0.9751188988031092,0.9747619047619047,0.974705934775994,0
